time 		gpv001pnt10113ppntm		evf507ety101mpzoyout		chtcon(1)		chavg(1)		chlhsumpa		rcptavgn	time 		rcpppzr		rcp054rcp007mnzoyout		rcv501std0102fvol		fwfrcp001gv		rcppmssga		msfsg(1)	
00:00:55:500		6.833490E+06		100.034		35.5483		0.00451553		0.000517266		309.858	00:00:55:500		1.547770E+07		0.167864		2.85122		529.612		6.967100E+06		526.68	
00:00:55:399		6.833480E+06		100.034		35.5515		0.00451553		0.000514915		309.858	00:00:55:399		1.547770E+07		0.167869		2.85117		529.612		6.967090E+06		526.682	
00:00:55:250		6.833470E+06		100.034		35.5515		0.00451553		0.000514915		309.858	00:00:55:250		1.547770E+07		0.167876		2.85108		529.612		6.967080E+06		526.685	
00:00:55:149		6.833460E+06		100.034		35.5546		0.00451557		0.000512564		309.858	00:00:55:149		1.547770E+07		0.167881		2.85103		529.612		6.967070E+06		526.686	
00:00:55:049		6.833460E+06		100.034		35.5546		0.00451557		0.000512564		309.858	00:00:55:049		1.547770E+07		0.167885		2.85099		529.612		6.967070E+06		526.687	
00:00:54:950		6.833450E+06		100.034		35.5577		0.00451558		0.000510213		309.858	00:00:54:950		1.547770E+07		0.167891		2.85094		529.612		6.967060E+06		526.69	
00:00:54:850		6.833440E+06		100.034		35.5577		0.00451558		0.000510213		309.858	00:00:54:850		1.547770E+07		0.167896		2.85089		529.614		6.967050E+06		526.691	
00:00:54:750		6.833430E+06		100.034		35.5577		0.00451558		0.000510213		309.857	00:00:54:750		1.547770E+07		0.167901		2.85085		529.614		6.967050E+06		526.692	
00:00:54:649		6.833430E+06		100.034		35.5609		0.00451558		0.000507862		309.857	00:00:54:649		1.547770E+07		0.167905		2.8508		529.614		6.967040E+06		526.694	
00:00:54:549		6.833420E+06		100.034		35.5609		0.00451558		0.000507862		309.857	00:00:54:549		1.547770E+07		0.167911		2.85071		529.614		6.967040E+06		526.695	
00:00:54:450		6.833410E+06		100.035		35.564		0.00451558		0.000505511		309.857	00:00:54:450		1.547770E+07		0.167915		2.85066		529.614		6.967030E+06		526.699	
00:00:54:350		6.833400E+06		100.035		35.564		0.00451558		0.000505511		309.857	00:00:54:350		1.547770E+07		0.16792		2.85066		529.614		6.967020E+06		526.701	
00:00:54:250		6.833400E+06		100.035		35.564		0.00451558		0.000505511		309.857	00:00:54:250		1.547760E+07		0.167925		2.85057		529.614		6.967020E+06		526.703	
00:00:54:149		6.833390E+06		100.035		35.5672		0.00451558		0.000503159		309.857	00:00:54:149		1.547760E+07		0.167931		2.85057		529.614		6.967010E+06		526.704	
00:00:54:049		6.833380E+06		100.035		35.5672		0.00451558		0.000503159		309.857	00:00:54:049		1.547760E+07		0.167935		2.85048		529.615		6.967000E+06		526.705	
00:00:53:950		6.833370E+06		100.035		35.5704		0.00420008		0.000500808		309.857	00:00:53:950		1.547760E+07		0.167941		2.85043		529.615		6.967000E+06		526.707	
00:00:53:850		6.833370E+06		100.035		35.5704		0.00420008		0.000500808		309.857	00:00:53:850		1.547760E+07		0.167946		2.85043		529.615		6.966990E+06		526.708	
00:00:53:750		6.833360E+06		100.035		35.5704		0.00420008		0.000500808		309.857	00:00:53:750		1.547760E+07		0.167951		2.85029		529.615		6.966980E+06		526.708	
00:00:53:700		6.833360E+06		100.035		35.5735		0.0038846		0.000498457		309.857	00:00:53:700		1.547760E+07		0.167954		2.85029		529.617		6.966980E+06		526.704	
00:00:53:600		6.833350E+06		100.035		35.5735		0.0038846		0.000498457		309.857	00:00:53:600		1.547760E+07		0.167959		2.85025		529.617		6.966970E+06		526.711	
00:00:53:500		6.833340E+06		100.035		35.5735		0.0038846		0.000498457		309.857	00:00:53:500		1.547760E+07		0.167964		2.8502		529.617		6.966970E+06		526.711	
00:00:53:299		6.833330E+06		100.035		35.5767		0.0038846		0.000496106		309.857	00:00:53:299		1.547760E+07		0.167976		2.85011		529.617		6.966960E+06		526.712	
00:00:53:299		6.833330E+06		100.035		35.5767		0.0038846		0.000496106		309.857	00:00:53:299		1.547760E+07		0.167976		2.85011		529.617		6.966960E+06		526.712	
00:00:53:149		6.833320E+06		100.035		35.5799		0.0038846		0.000493755		309.857	00:00:53:149		1.547760E+07		0.167984		2.85006		529.617		6.966950E+06		526.718	
00:00:53:049		6.833310E+06		100.035		35.5799		0.0038846		0.000493755		309.857	00:00:53:049		1.547760E+07		0.167989		2.84997		529.619		6.966940E+06		526.718	
00:00:52:950		6.833310E+06		100.035		35.5831		0.0038846		0.000491404		309.857	00:00:52:950		1.547760E+07		0.167994		2.84997		529.619		6.966930E+06		526.716	
00:00:52:850		6.833300E+06		100.035		35.5831		0.0038846		0.000491404		309.857	00:00:52:850		1.547760E+07		0.168		2.84992		529.619		6.966930E+06		526.723	
00:00:52:750		6.833290E+06		100.036		35.5831		0.0038846		0.000491404		309.857	00:00:52:750		1.547760E+07		0.168006		2.84978		529.617		6.966920E+06		526.722	
00:00:52:649		6.833280E+06		100.036		35.5863		0.0038846		0.000489053		309.857	00:00:52:649		1.547760E+07		0.168012		2.84978		529.619		6.966920E+06		526.724	
00:00:52:549		6.833280E+06		100.036		35.5863		0.0038846		0.000489053		309.857	00:00:52:549		1.547760E+07		0.168017		2.84974		529.619		6.966910E+06		526.722	
00:00:52:450		6.833270E+06		100.036		35.5895		0.00388459		0.000486702		309.857	00:00:52:450		1.547760E+07		0.168023		2.84973		529.619		6.966900E+06		526.731	
00:00:52:350		6.833260E+06		100.036		35.5895		0.00388459		0.000486702		309.857	00:00:52:350		1.547760E+07		0.168029		2.8496		529.619		6.966900E+06		526.732	
00:00:52:250		6.833250E+06		100.036		35.5895		0.00388459		0.000486702		309.857	00:00:52:250		1.547760E+07		0.168035		2.84955		529.619		6.966890E+06		526.731	
00:00:52:149		6.833250E+06		100.036		35.5927		0.00388459		0.00048435		309.857	00:00:52:149		1.547760E+07		0.168041		2.84955		529.621		6.966880E+06		526.733	
00:00:52:049		6.833240E+06		100.036		35.5927		0.00388459		0.00048435		309.857	00:00:52:049		1.547760E+07		0.168046		2.84955		529.621		6.966880E+06		526.726	
00:00:51:950		6.833230E+06		100.036		35.596		0.0036097		0.000481999		309.857	00:00:51:950		1.547760E+07		0.168053		2.84946		529.621		6.966870E+06		526.732	
00:00:51:850		6.833230E+06		100.036		35.596		0.0036097		0.000481999		309.857	00:00:51:850		1.547760E+07		0.168059		2.84937		529.621		6.966870E+06		526.741	
00:00:51:750		6.833220E+06		100.036		35.596		0.0036097		0.000481999		309.856	00:00:51:750		1.547760E+07		0.168065		2.84941		529.621		6.966860E+06		526.741	
00:00:51:649		6.833210E+06		100.036		35.5992		0.00333482		0.000479648		309.856	00:00:51:649		1.547760E+07		0.168071		2.84932		529.623		6.966850E+06		526.744	
00:00:51:549		6.833210E+06		100.036		35.5992		0.00333482		0.000479648		309.856	00:00:51:549		1.547760E+07		0.168077		2.84927		529.621		6.966850E+06		526.744	
00:00:51:350		6.833190E+06		100.036		35.6025		0.00333485		0.000477297		309.856	00:00:51:350		1.547760E+07		0.168089		2.84918		529.623		6.966840E+06		526.746	
00:00:51:350		6.833190E+06		100.036		35.6025		0.00333485		0.000477297		309.856	00:00:51:350		1.547760E+07		0.168089		2.84918		529.623		6.966840E+06		526.746	
00:00:51:200		6.833180E+06		100.036		35.6057		0.00307433		0.000474946		309.856	00:00:51:200		1.547760E+07		0.168099		2.84914		529.623		6.966830E+06		526.753	
00:00:51:200		6.833180E+06		100.036		35.6057		0.00307433		0.000474946		309.856	00:00:51:200		1.547760E+07		0.168099		2.84914		529.623		6.966830E+06		526.753	
00:00:51:100		6.833170E+06		100.036		35.6057		0.00307433		0.000474946		309.856	00:00:51:100		1.547760E+07		0.168105		2.84909		529.623		6.966820E+06		526.755	
